Feature,Mean |SHAP Value|
YearsAtCompany,0.03817680078567908
WorkLifeBalance,0.038176800785678686
DailyRate,0.034996225042179065
Age,0.034996225042178815
JobRole_Sales Executive,0.03164982022887151
JobRole_Research Scientist,0.0316498202288712
EducationField_Technical Degree,0.02876302348721342
EducationField_Other,0.02876302348721329
JobRole_Human Resources,0.026555609088740953
Gender_Male,0.02655560908874068
HourlyRate,0.02104276611639168
EnvironmentSatisfaction,0.021042766116391463
Education,0.020481973765608442
DistanceFromHome,0.020481973765608185
BusinessTravel_Travel_Frequently,0.020355885103771527
YearsWithCurrManager,0.02035588510377143
MonthlyIncome,0.019553761410183324
JobSatisfaction,0.019553761410183158
StockOptionLevel,0.018211437980923853
RelationshipSatisfaction,0.018211437980923794
YearsSinceLastPromotion,0.016715723671460625
YearsInCurrentRole,0.016715723671460583
NumCompaniesWorked,0.0162999200457866
MonthlyRate,0.016299920045786558
MaritalStatus_Married,0.014939015196969791
JobRole_Sales Representative,0.014939015196969605
TrainingTimesLastYear,0.014312281678782696
TotalWorkingYears,0.014312281678782651
JobRole_Research Director,0.012734631953453953
JobRole_Manufacturing Director,0.012734631953453888
Department_Research & Development,0.012710504502074364
BusinessTravel_Travel_Rarely,0.012710504502074301
PerformanceRating,0.010993701455431357
PercentSalaryHike,0.010993701455431321
OverTime_Yes,0.010375023554701136
MaritalStatus_Single,0.010375023554701074
EducationField_Medical,0.01035076782462462
EducationField_Marketing,0.010350767824624605
JobRole_Manager,0.008591989926565858
JobRole_Laboratory Technician,0.008591989926565806
JobInvolvement,0.007862536738782717
JobLevel,0.007862536738782708
Department_Sales,0.001567123279498078
EducationField_Life Sciences,0.0015671232794980687
